domain,avg_position,median_position,rating,etv,keywords_count,source
www.voicebot.net,1,1,,,1,keywords
learn.microsoft.com,1,1,,,1,keywords
www.text-em-all.com,1,1,,,1,keywords
nextlevel.ai,1,1,,,1,keywords
voicebot.ai,2,2,,,1,keywords
www.canva.com,3,3,,,1,keywords
www.callmultiplier.com,4,4,,,1,keywords
vapi.ai,4.75,5,,,4,keywords
www.bland.ai,5,3,,,6,keywords
www.nice.com,5.4,4,,,4,keywords
www.dialpad.com,5.666666666666667,6,,,3,keywords
sigmavoice.com,6,6,,,1,keywords
www.wired.com,6,6,,,1,keywords
synthflow.ai,6.5,5,,,4,keywords
www.naturalreaders.com,7,7,,,1,keywords
www.wellsaid.io,7,7,,,1,keywords
www.genesys.com,7.833333333333333,3,,,5,keywords
developers.liveperson.com,8,8,,,1,keywords
app.kits.ai,8,8,,,1,keywords
www.lxt.ai,9,9,,,1,keywords
